Date,code,Open,High,Low,Close,Volume
2022-07-19,1332,582.0,586.0,576.0,584.0,1560800
2022-07-15,1332,588.0,589.0,576.0,577.0,2279900
2022-07-14,1332,590.0,591.0,585.0,591.0,1098600
2022-07-13,1332,604.0,605.0,586.0,587.0,1806400
2022-07-12,1332,581.0,607.0,578.0,599.0,4565200
2022-07-11,1332,573.0,583.0,571.0,583.0,1620100
2022-07-08,1332,572.0,574.0,565.0,567.0,2021300
2022-07-07,1332,572.0,578.0,568.0,575.0,1271900
2022-07-06,1332,566.0,570.0,560.0,569.0,1189100
2022-07-05,1332,578.0,579.0,574.0,577.0,1122500
2022-07-04,1332,580.0,580.0,571.0,578.0,1162200
2022-07-01,1332,578.0,585.0,572.0,576.0,1771100
2022-06-30,1332,573.0,578.0,569.0,573.0,1971100
2022-06-29,1332,571.0,573.0,568.0,570.0,1212100
2022-06-28,1332,564.0,577.0,559.0,576.0,1798800
2022-06-27,1332,565.0,569.0,559.0,560.0,1133600
2022-06-24,1332,564.0,564.0,549.0,559.0,2256300
2022-06-23,1332,566.0,570.0,561.0,564.0,1384900
2022-06-22,1332,560.0,565.0,554.0,563.0,963100
2022-06-21,1332,547.0,563.0,547.0,558.0,1400000
2022-06-20,1332,559.0,561.0,546.0,549.0,1671400
2022-06-17,1332,544.0,555.0,542.0,555.0,2429900
2022-06-16,1332,540.0,554.0,539.0,550.0,2143000
2022-06-15,1332,536.0,538.0,530.0,531.0,1303500
2022-06-14,1332,535.0,536.0,531.0,535.0,1163200
2022-06-13,1332,530.0,539.0,530.0,538.0,1164700
2022-06-10,1332,540.0,540.0,534.0,534.0,1197800
2022-06-09,1332,536.0,543.0,536.0,541.0,1396700
2022-06-08,1332,538.0,540.0,533.0,535.0,1697500
2022-06-07,1332,535.0,542.0,532.0,538.0,1496100
2022-06-06,1332,532.0,535.0,530.0,535.0,1379100
2022-06-03,1332,535.0,539.0,531.0,534.0,928900
2022-06-02,1332,542.0,544.0,532.0,535.0,1478900
2022-06-01,1332,530.0,546.0,530.0,545.0,2256600
2022-05-31,1332,525.0,528.0,520.0,521.0,2134800
2022-05-30,1332,526.0,529.0,523.0,525.0,1282500
2022-05-27,1332,525.0,528.0,520.0,521.0,978800
2022-05-26,1332,520.0,529.0,519.0,525.0,1155000
2022-05-25,1332,529.0,531.0,520.0,521.0,1297300
2022-05-24,1332,537.0,538.0,525.0,525.0,1344600
2022-05-23,1332,531.0,540.0,529.0,535.0,1769400
2022-05-20,1332,530.0,532.0,527.0,527.0,1376400
2022-05-19,1332,526.0,537.0,526.0,535.0,1098800
2022-05-18,1332,540.0,543.0,536.0,537.0,981300
2022-05-17,1332,546.0,553.0,542.0,542.0,1477700
2022-05-16,1332,544.0,545.0,532.0,537.0,2102700
2022-05-13,1332,530.0,546.0,526.0,545.0,2979200
2022-05-12,1332,562.0,572.0,525.0,530.0,3794900
2022-05-11,1332,567.0,569.0,559.0,568.0,1407600
2022-05-10,1332,569.0,575.0,564.0,572.0,1277800
2022-05-09,1332,576.0,576.0,565.0,572.0,970400
2022-05-06,1332,578.0,583.0,572.0,578.0,1546700
2022-05-02,1332,568.0,575.0,563.0,572.0,1004000
2022-04-28,1332,564.0,574.0,562.0,574.0,1564400
2022-04-27,1332,563.0,568.0,557.0,559.0,1193800
2022-04-26,1332,565.0,576.0,565.0,567.0,1295900
2022-04-25,1332,560.0,567.0,559.0,562.0,1014400
2022-04-22,1332,567.0,571.0,557.0,568.0,1687300
2022-04-21,1332,579.0,582.0,573.0,575.0,1954800
2022-04-20,1332,556.0,572.0,555.0,571.0,2259600
2022-04-19,1332,551.0,553.0,546.0,551.0,1066500
2022-04-18,1332,550.0,551.0,541.0,547.0,915500
2022-04-15,1332,562.0,563.0,555.0,555.0,886900
2022-04-14,1332,558.0,565.0,557.0,563.0,966500
2022-04-13,1332,558.0,558.0,554.0,558.0,977500
2022-04-12,1332,560.0,566.0,551.0,555.0,1425000
2022-04-11,1332,553.0,558.0,548.0,557.0,1575400
2022-04-08,1332,547.0,552.0,543.0,552.0,2084400
2022-04-07,1332,532.0,541.0,531.0,540.0,1560200
2022-04-06,1332,547.0,548.0,537.0,538.0,1304800
2022-04-05,1332,550.0,554.0,547.0,551.0,1202000
2022-04-04,1332,552.0,558.0,548.0,555.0,1519800
2022-04-01,1332,550.0,552.0,537.0,549.0,1425000
2022-03-31,1332,552.0,555.0,546.0,548.0,1804800
2022-03-30,1332,566.0,566.0,546.0,558.0,2933500
2022-03-29,1332,572.98,572.98,562.08,571.0,2839246
2022-03-28,1332,578.93,578.93,571.99,577.94,1706009
2022-03-25,1332,569.02,574.97,565.05,572.98,2103863
2022-03-24,1332,575.96,575.96,562.08,565.05,2046061
2022-03-23,1332,570.01,576.95,568.03,575.96,1738088
2022-03-22,1332,567.03,570.01,563.07,565.05,1719829
2022-03-18,1332,564.06,567.03,558.11,560.1,2676433
2022-03-17,1332,565.05,567.03,560.1,565.05,2324579
2022-03-16,1332,561.09,566.04,554.15,558.11,2363517
2022-03-15,1332,555.14,562.08,553.16,561.09,1921782
2022-03-14,1332,540.27,559.1,538.29,555.14,2593715
2022-03-11,1332,526.39,536.3,526.39,533.33,2341324
2022-03-10,1332,503.59,531.35,502.6,530.36,3560003
2022-03-09,1332,495.66,500.62,492.69,494.67,2585140
